,,CH0601,CH0602,CH0603,CH0604,CH0605
2025/9/8,18:42:56,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:57,29.9,30,29.9,29.8,13.37
2025/9/8,18:42:58,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:59,29.9,30,29.9,29.8,13.37
2025/9/8,18:43:00,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:01,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:02,29.9,30,29.9,29.8,13.37
2025/9/8,18:43:03,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:04,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:05,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:06,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:07,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:08,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:09,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:10,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:11,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:12,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:13,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:14,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:15,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:16,29.9,30,29.9,29.8,13.37
2025/9/8,18:43:17,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:18,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:19,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:20,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:21,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:22,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:23,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:24,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:25,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:26,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:27,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:28,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:29,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:30,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:31,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:32,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:33,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:34,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:35,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:36,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:37,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:38,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:39,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:40,29.9,30,29.8,29.7,13.37
2025/9/8,18:43:41,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:42,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:43,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:44,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:45,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:46,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:47,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:48,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:49,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:50,29.9,30,29.8,29.7,13.37
2025/9/8,18:43:51,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:52,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:53,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:54,29.9,30,29.8,29.7,13.37
2025/9/8,18:43:55,29.9,30,29.8,29.7,13.37
2025/9/8,18:43:56,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:57,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:58,29.9,30,29.8,29.8,13.37
2025/9/8,18:43:59,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:00,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:01,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:02,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:03,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:04,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:05,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:06,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:07,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:08,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:09,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:10,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:11,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:12,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:13,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:14,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:15,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:16,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:17,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:18,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:19,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:20,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:21,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:22,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:23,29.9,30,29.8,29.7,13.37
2025/9/8,18:44:24,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:25,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:26,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:27,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:28,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:29,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:30,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:31,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:32,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:33,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:34,29.9,30,29.8,29.7,13.37
2025/9/8,18:44:35,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:36,29.9,30,29.8,29.7,13.37
2025/9/8,18:44:37,29.9,30,29.8,29.7,13.37
2025/9/8,18:44:38,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:39,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:40,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:41,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:42,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:43,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:44,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:45,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:46,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:47,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:48,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:49,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:50,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:51,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:52,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:53,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:54,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:55,29.9,30,29.8,29.7,13.37
2025/9/8,18:44:56,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:57,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:58,29.9,30,29.8,29.8,13.37
2025/9/8,18:44:59,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:00,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:01,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:02,29.9,30,29.8,29.7,13.37
2025/9/8,18:45:03,29.9,30,29.8,29.7,13.37
2025/9/8,18:45:04,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:05,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:06,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:07,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:08,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:09,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:10,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:11,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:12,29.9,30,29.8,29.7,13.37
2025/9/8,18:45:13,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:14,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:15,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:16,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:17,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:18,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:19,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:20,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:21,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:22,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:23,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:24,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:25,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:26,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:27,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:28,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:29,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:30,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:31,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:32,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:33,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:34,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:35,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:36,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:37,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:38,29.9,30,29.8,29.7,13.37
2025/9/8,18:45:39,29.9,30,29.8,29.7,13.37
2025/9/8,18:45:40,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:41,29.9,30,29.8,29.7,13.37
2025/9/8,18:45:42,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:43,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:44,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:45,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:46,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:47,29.9,30,29.8,29.7,13.37
2025/9/8,18:45:48,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:49,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:50,29.9,30,29.8,29.7,13.37
2025/9/8,18:45:51,29.9,30,29.8,29.7,13.37
2025/9/8,18:45:52,29.9,30,29.8,29.7,13.37
2025/9/8,18:45:53,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:54,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:55,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:56,29.9,30,29.8,29.7,13.37
2025/9/8,18:45:57,29.9,30,29.8,29.7,13.37
2025/9/8,18:45:58,29.9,30,29.8,29.8,13.37
2025/9/8,18:45:59,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:00,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:01,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:02,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:03,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:04,29.9,30,29.8,29.8,13.37
2025/9/8,18:46:05,29.9,30,29.8,29.8,13.37
2025/9/8,18:46:06,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:07,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:08,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:09,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:10,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:11,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:12,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:13,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:14,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:15,29.9,30,29.8,29.8,13.37
2025/9/8,18:46:16,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:17,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:18,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:19,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:20,29.9,30,29.8,29.8,13.37
2025/9/8,18:46:21,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:22,29.9,29.9,29.8,29.7,13.37
2025/9/8,18:46:23,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:24,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:25,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:26,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:27,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:28,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:29,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:30,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:31,29.9,30,29.8,29.8,13.37
2025/9/8,18:46:32,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:33,29.9,30,29.8,29.8,13.37
2025/9/8,18:46:34,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:35,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:36,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:37,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:38,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:39,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:40,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:41,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:42,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:43,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:44,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:45,29.9,29.9,29.8,29.7,13.37
2025/9/8,18:46:46,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:47,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:48,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:49,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:50,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:51,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:52,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:53,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:54,29.9,29.9,29.8,29.7,13.37
2025/9/8,18:46:55,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:56,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:57,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:58,29.9,30,29.8,29.7,13.37
2025/9/8,18:46:59,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:00,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:01,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:02,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:03,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:04,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:05,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:06,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:07,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:08,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:09,29.9,29.9,29.8,29.7,13.37
2025/9/8,18:47:10,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:11,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:12,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:13,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:14,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:15,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:16,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:17,29.9,30,29.8,29.8,13.37
2025/9/8,18:47:18,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:19,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:20,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:21,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:22,29.9,30,29.8,29.8,13.37
2025/9/8,18:47:23,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:24,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:25,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:26,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:27,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:28,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:29,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:30,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:31,29.9,29.9,29.8,29.7,13.37
2025/9/8,18:47:32,29.9,30,29.8,29.8,13.37
2025/9/8,18:47:33,29.9,30,29.8,29.8,13.37
2025/9/8,18:47:34,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:35,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:36,29.9,30,29.8,29.8,13.37
2025/9/8,18:47:37,29.9,30,29.8,29.8,13.37
2025/9/8,18:47:38,29.9,30,29.8,29.8,13.37
2025/9/8,18:47:39,29.9,30,29.8,29.8,13.37
2025/9/8,18:47:40,29.9,30,29.8,29.8,13.37
2025/9/8,18:47:41,29.9,30,29.8,29.8,13.37
2025/9/8,18:47:42,29.9,30,29.8,29.8,13.37
2025/9/8,18:47:43,29.9,30,29.8,29.8,13.37
2025/9/8,18:47:44,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:45,29.9,30,29.8,29.8,13.37
2025/9/8,18:47:46,29.9,30,29.8,29.8,13.37
2025/9/8,18:47:47,29.9,30,29.8,29.8,13.37
2025/9/8,18:47:48,29.9,30,29.8,29.7,13.37
2025/9/8,18:47:49,30,30,29.8,29.8,13.37
2025/9/8,18:47:50,29.9,30,29.8,29.8,13.37
2025/9/8,18:47:51,30,30,29.8,29.8,13.37
2025/9/8,18:47:52,30,30,29.8,29.8,13.37
2025/9/8,18:47:53,30,30,29.8,29.8,13.37
2025/9/8,18:47:54,30,30,29.8,29.8,13.37
2025/9/8,18:47:55,30,30,29.8,29.7,13.37
2025/9/8,18:47:56,30,30,29.8,29.7,13.37
2025/9/8,18:47:57,30,30,29.8,29.8,13.37
2025/9/8,18:47:58,30,30,29.8,29.8,13.37
2025/9/8,18:47:59,30,30,29.8,29.8,13.37
2025/9/8,18:48:00,30,30,29.8,29.8,13.37
2025/9/8,18:48:01,30,30,29.8,29.8,13.37
2025/9/8,18:48:02,30,30,29.8,29.8,13.37
2025/9/8,18:48:03,30,30,29.8,29.8,13.37
2025/9/8,18:48:04,30,30,29.8,29.8,13.37
2025/9/8,18:48:05,30,30,29.8,29.8,13.37
2025/9/8,18:48:06,30.1,30,29.8,29.8,13.37
2025/9/8,18:48:07,30.1,30,29.8,29.8,13.37
2025/9/8,18:48:08,30.1,30,29.8,29.8,13.37
2025/9/8,18:48:09,30.1,30,29.8,29.8,13.37
2025/9/8,18:48:10,30.1,30,29.8,29.8,13.37
2025/9/8,18:48:11,30.1,30,29.8,29.8,13.37
2025/9/8,18:48:12,30.1,30,29.8,29.8,13.37
2025/9/8,18:48:13,30.1,30,29.8,29.8,13.37
2025/9/8,18:48:14,30.1,30,29.8,29.8,13.37
2025/9/8,18:48:15,30.1,30,29.8,29.8,13.37
2025/9/8,18:48:16,30.1,30,29.8,29.7,13.37
2025/9/8,18:48:17,30.1,30,29.8,29.8,13.37
2025/9/8,18:48:18,30.2,30,29.8,29.8,13.37
2025/9/8,18:48:19,30.2,30,29.8,29.8,13.37
2025/9/8,18:48:20,30.1,30,29.8,29.8,13.37
2025/9/8,18:48:21,30.1,29.9,29.8,29.7,13.37
2025/9/8,18:48:22,30.2,30,29.8,29.7,13.37
2025/9/8,18:48:23,30.2,30,29.8,29.7,13.37
2025/9/8,18:48:24,30.2,30,29.8,29.7,13.37
2025/9/8,18:48:25,30.2,30,29.8,29.8,13.37
2025/9/8,18:48:26,30.2,30,29.8,29.8,13.37
2025/9/8,18:48:27,30.2,30,29.8,29.8,13.37
2025/9/8,18:48:28,30.2,30,29.8,29.7,13.37
2025/9/8,18:48:29,30.2,30,29.8,29.7,13.37
2025/9/8,18:48:30,30.2,30,29.8,29.8,13.37
2025/9/8,18:48:31,30.2,30,29.8,29.7,13.37
2025/9/8,18:48:32,30.2,30,29.8,29.7,13.37
2025/9/8,18:48:33,30.2,30,29.8,29.8,13.37
2025/9/8,18:48:34,30.2,30,29.8,29.8,13.37
2025/9/8,18:48:35,30.2,30,29.8,29.8,13.37
2025/9/8,18:48:36,30.1,30,29.8,29.7,13.37
2025/9/8,18:48:37,30.2,30,29.8,29.7,13.37
2025/9/8,18:48:38,30.2,30,29.8,29.8,13.37
2025/9/8,18:48:39,30.2,30,29.8,29.8,13.37
2025/9/8,18:48:40,30.2,30,29.8,29.8,13.37
2025/9/8,18:48:41,30.2,30,29.8,29.8,13.37
2025/9/8,18:48:42,30.1,30,29.8,29.7,13.37
2025/9/8,18:48:43,30.1,30,29.8,29.7,13.37
2025/9/8,18:48:44,30.2,30,29.8,29.7,13.37
2025/9/8,18:48:45,30.1,30,29.8,29.8,13.37
2025/9/8,18:48:46,30.1,30,29.8,29.8,13.37
2025/9/8,18:48:47,30.1,30,29.8,29.7,13.37
2025/9/8,18:48:48,30.1,30,29.8,29.7,13.37
2025/9/8,18:48:49,30.1,30,29.8,29.7,13.37
2025/9/8,18:48:50,30.1,30,29.8,29.8,13.37
2025/9/8,18:48:51,30.1,30,29.8,29.7,13.37
2025/9/8,18:48:52,30.1,30,29.8,29.8,13.37
2025/9/8,18:48:53,30.1,30,29.8,29.8,13.37
2025/9/8,18:48:54,30.1,30,29.8,29.7,13.37
2025/9/8,18:48:55,30.1,30,29.8,29.7,13.37
2025/9/8,18:48:56,30.1,30,29.8,29.8,13.37
2025/9/8,18:48:57,30.1,30,29.8,29.8,13.37
2025/9/8,18:48:58,30.1,30,29.8,29.7,13.37
2025/9/8,18:48:59,30.1,29.9,29.8,29.7,13.37
2025/9/8,18:49:00,30.1,30,29.8,29.7,13.37
2025/9/8,18:49:01,30.1,29.9,29.8,29.7,13.37
2025/9/8,18:49:02,30.1,30,29.8,29.7,13.37
2025/9/8,18:49:03,30.1,30,29.8,29.7,13.37
2025/9/8,18:49:04,30.1,29.9,29.8,29.7,13.37
2025/9/8,18:49:05,30.1,29.9,29.8,29.7,13.37
2025/9/8,18:49:06,30.1,30,29.8,29.7,13.37
2025/9/8,18:49:07,30.1,29.9,29.8,29.7,13.34
2025/9/8,18:49:08,30.1,30,29.8,29.7,13.33
2025/9/8,18:49:09,30.1,30,29.8,29.8,13.31
2025/9/8,18:49:10,30.1,30,29.8,29.7,13.32
2025/9/8,18:49:11,30.1,30,29.8,29.8,13.31
2025/9/8,18:49:12,30.1,30,29.8,29.7,13.26
2025/9/8,18:49:13,30.1,29.9,29.8,29.7,13.27
2025/9/8,18:49:14,30.3,30,29.8,29.7,13.26
2025/9/8,18:49:15,30.5,30,29.8,29.7,13.25
